Filename,Steganography Present,Steganography Algorithm,Signature
OmniHide(3).MP4,No,None,
OmniHide(3).MP4,No,None,
OmniHide(3).MP4,Yes,OmniHide Steganography,null byte insertion
IMG_20131127_103907.jpg.jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
BDV(3).MP4,No,None,
BDV(3).MP4,Yes,BDV Steganography,fbead881250ff9
BDV(3).MP4,No,None,
stego_6672542201_532f70bffe.png,No,None,
Sp_D_CRN_A_cha0077_pla0022_0382.jpg,No,None,
20160113_132618.jpg_114458435818186.jpg,No,None,
compromised_banner_pixelknot.jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
red_tower_copy.png,No,None,
stego_6672108499_85c582a7f9.png,No,None,
Pixelknot (6).jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
clean_7228374452_8f743dc3d4_z.png,No,None,
clean_7235972310_8c25258da5.png,No,None,
clean_7235558256_3099066753.png,No,None,
stego_6672542201_532f70bffe.png,No,None,
stego_6666458261_e455d262b5_z.png,No,None,
stego_6672108499_85c582a7f9.png,No,None,
clean_7237798856_86870c8823_z.png,No,None,
clean_7235972310_8c25258da5.png,No,None,
clean_7232202430_d38b6d6986_z.png,No,None,
leaf.jpg,No,None,
clean_7232220662_3d42c69109_z.png,No,None,
rose-blue-flower-rose-blooms-67636.jpeg,No,None,
how-to-become-a-hacker-735x400.jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
clean_7231623538_f51db2a35a_z.png,No,None,
clean_7235558256_3099066753.png,No,None,
clean_7221186570_82a10bc040_z.png,No,None,
IMG_0265.JPG.jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
clean_7232206610_b8cfded120_z.png,No,None,
bottle2.jpeg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
IMG00007-20130311-0847.jpg_103818893548807.jpg,No,None,
bridge.jpeg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
Farringdon_station_MMB_10_C-Stock.jpg,No,None,
clean_7234473324_bb8a82b5bd.png,No,None,
clean_7232193260_c2fd8c0f25_z.png,No,None,
bottle.jpeg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
clean_7228374452_8f743dc3d4_z.png,No,None,
photo-1500382017468-9049fed747ef.jpeg,No,None,
clean_7237798856_86870c8823_z.png,No,None,
img_forest.jpg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
compromised_banner_mcrypt.jpg,No,None,
clean_7222762386_2688184c8e.png,No,None,
demoimage.jpeg,Yes,PixelKnot Steganography,ffe000104a464946000101000001
