filename,file_type,file_size,file_modify_date,file_access_date,dimensions,sha1_hash,steganography_present,steganography_algorithm,signature
red_tower_copy.png,PNG,7.9 MB,2018:04:16 13:20:51-07:00,2019:06:23 12:26:31-07:00,3264x2448,9975b50f0554052dd6292989327d96b8751f1f2b,None,None,None
20160113_132618.jpg_114458435818186.jpg,JPEG,420 kB,2017:06:07 07:09:26-07:00,2019:06:23 12:25:38-07:00,1536x2048,94d378ecbf6b715d40b3331d0efe5dec7229156a,None,None,None
compromised_banner_pixelknot.jpg,JPEG,450 kB,2018:10:20 03:45:50-07:00,2019:06:23 12:25:38-07:00,1280x960,b2ae75b7d2bb1576989fbfaaee1e91320e62d319,Yes,PixelKnot Steganography,ffe000104a464946000101000001
Pixelknot (6).jpg,JPEG,245 kB,2018:09:25 06:15:11-07:00,2019:06:23 12:25:38-07:00,1280x853,a7736d1cb50e700f415b6027bb634354c8badb83,Yes,PixelKnot Steganography,ffe000104a464946000101000001
stego_6672108499_85c582a7f9.png,PNG,429 kB,2018:09:25 06:15:01-07:00,2019:06:23 12:25:38-07:00,500x357,ea316e4675129f6f1ccafe15852ee614033883de,yes,LSB Steganography,Statistical Steganalysis
stego_6672542201_532f70bffe.png,PNG,359 kB,2018:09:25 06:14:58-07:00,2019:06:23 12:25:38-07:00,500x400,2b82523166071003f38d5e815cf0903486bd7ef2,No,None,
BDV(3).MP4,MP4,21 MB,2018:09:25 09:46:02-07:00,2019:06:23 12:25:37-07:00,1280x720,19cace5f5f36689407fd179cb2d47b8b920685a1,Yes,BDV Steganography,fbead881250ff9
clean_7228374452_8f743dc3d4_z.png,PNG,394 kB,2018:09:25 06:15:47-07:00,2019:06:23 12:25:38-07:00,640x427,eef8eed906f5436d536bf2cf1d7146aa3ad3711d,None,None,None
OmniHide(3).MP4,MP4,14 MB,2018:09:25 09:37:27-07:00,2019:06:23 12:25:37-07:00,1280x720,ea1c89916618dee598707bbdac1b9a866fc35159,Yes,OmniHide Steganography,null byte insertion
Sp_D_CRN_A_cha0077_pla0022_0382.jpg,JPEG,61 kB,2018:08:17 12:31:43-07:00,2019:06:23 12:25:38-07:00,384x256,7db30c8ab6b252ff48033d98c8922bb775e11efd,None,None,None
IMG_20131127_103907.jpg.jpg,JPEG,93 kB,2017:06:01 04:52:44-07:00,2019:06:23 12:25:38-07:00,1080x1080,9db160a31160fc659ea4c432f271476cb0207b93,Yes,PixelKnot Steganography,ffe000104a464946000101000001
